case_id,case_title,symptom,topology_note,show_commands,show_output,expected_fault,osi_layer,concept,severity,expected_fix
DHCP-03,DHCP pool has no available addresses,Additional clients fail to obtain addresses while earlier clients retain working leases.,Server-PT DHCP pool 192.168.70.0/24 deliberately limited to two assignable addresses; three PCs.,Server-PT Services > DHCP; PC-3> ipconfig /all; R1# show ip dhcp binding,All configured pool addresses are leased; PC-3 has no valid lease.,The DHCP scope is exhausted.,7,DHCP,Medium,"Increase the pool range or reduce lease use, avoiding reserved gateway/static addresses; renew the affected client."
DHCP-04,Router DHCP pool has the wrong network statement,Client receives no lease from a router acting as DHCP server despite an up LAN interface.,R1 G0/0 192.168.80.1/24 to 2960 and PC-PT; R1 provides DHCP.,R1# show running-config | section dhcp; R1# show ip dhcp pool; PC> ipconfig /all,Pool network is 192.168.81.0 255.255.255.0 while G0/0 is 192.168.80.1/24; no binding appears.,Router DHCP pool network does not match the client LAN.,7,DHCP,High,"Correct the pool network to 192.168.80.0 255.255.255.0, exclude infrastructure IPs, and renew the client."
DNS-01,DHCP supplies an unreachable DNS server,Client can ping the web server IP but cannot browse or ping it by hostname.,PC receives DHCP on 192.168.90.0/24; DNS Server-PT is 192.168.90.10.,PC> ipconfig /all; PC> ping 192.168.90.10; PC> nslookup intranet.local,"PC DNS server is 192.168.90.99; .99 does not respond, though .10 is the DNS server.",DNS server option on the host/DHCP pool is wrong.,7,DNS,Medium,"Set the DHCP DNS server option (or static client DNS) to 192.168.90.10, renew the lease, and retest the name."
DNS-02,DNS A record for internal site is missing,The intranet server is reachable by IP address but intranet.local cannot be resolved.,PC and DNS/Web Server-PT on one routed network; intended A record intranet.local -> 10.10.10.10.,PC> nslookup intranet.local; PC> ping 10.10.10.10; Server-PT Services > DNS,nslookup reports no record for intranet.local; ping to 10.10.10.10 succeeds; DNS service is enabled.,Required DNS A record is absent.,7,DNS,Low,"Add A record intranet.local with address 10.10.10.10 on Server-PT, then query the name again."
DNS-03,DNS service is disabled,"All name lookups fail, although clients can reach the DNS server by IP.",PC-PT and Server-PT on 10.10.20.0/24; Server-PT hosts DNS records.,PC> ping 10.10.20.10; PC> nslookup portal.local; Server-PT Services > DNS,Ping to 10.10.20.10 succeeds; DNS service toggle is Off; queries time out/fail.,DNS service is disabled on the server.,7,DNS,Medium,Enable DNS on Server-PT Services > DNS and verify existing records before retrying nslookup.
ROUTE-01,Static route to remote LAN is missing,"Hosts on R1 LAN cannot reach hosts behind R2, despite an up serial/Ethernet transit link.",R1 192.168.1.0/24 -- 10.0.12.0/30 -- R2 192.168.2.0/24.,R1# show ip route; R1# show ip interface brief; PC1> tracert 192.168.2.10,R1 route table contains connected networks only; no route to 192.168.2.0/24; transit interfaces are up/up.,R1 lacks a route to the R2 LAN.,3,Routing,High,Add ip route 192.168.2.0 255.255.255.0 10.0.12.2 on R1 and ensure R2 has a return route.
ROUTE-02,Static route points to an invalid next hop,Traffic to a remote network fails at R1 even though a static route is present.,R1 and R2 connected on 10.0.12.0/30; R2 serves 172.16.2.0/24.,R1# show ip route 172.16.2.0; R1# show running-config | include ^ip route; PC> tracert 172.16.2.10,Route reads S 172.16.2.0/24 via 10.0.12.6; .6 is not R2 on the transit subnet.,Static route uses the wrong next-hop address.,3,Static Routing,High,Remove the bad route and add ip route 172.16.2.0 255.255.255.0 10.0.12.2; verify return routing.
ROUTE-03,Edge router has no default route,Internal clients reach internal networks but cannot reach an ISP test server.,R1 LAN 192.168.100.0/24 to ISP router over 203.0.113.0/30; server beyond ISP.,R1# show ip route; R1# show running-config | include ^ip route; PC> tracert 198.51.100.10,R1 has connected LAN and WAN routes but no Gateway of last resort/default route.,Default route toward the ISP is missing.,3,Default Routing,High,Configure ip route 0.0.0.0 0.0.0.0 203.0.113.2 on R1 and validate ISP return routing/NAT as applicable.
ROUTE-04,Router LAN interface is administratively down,Every host on one LAN loses its gateway and remote connectivity after an interface change.,"PC-PT through 2960 to R1 G0/1, addressed 192.168.110.1/24.",R1# show ip interface brief; R1# show running-config interface g0/1; PC> ping 192.168.110.1,G0/1 shows 192.168.110.1 with Status administratively down and Protocol down.,The LAN router interface has been shut down.,1,Routing,High,Enter interface g0/1 and issue no shutdown; verify status up/up and test gateway ping.
ROUTE-05,OSPF advertises the wrong LAN network,"R2 does not learn R1 LAN route, while the inter-router adjacency is up.",R1 and R2 run OSPF area 0 over 10.1.12.0/30; R1 LAN is 10.1.1.0/24.,R1# show running-config | section router ospf; R2# show ip route ospf; R1# show ip ospf neighbor,Neighbor is FULL; R1 OSPF network statement matches 10.1.12.0 but not 10.1.1.0; R2 lacks 10.1.1.0/24.,R1 OSPF configuration does not include its LAN interface network.,3,OSPF,High,On R1 add network 10.1.1.0 0.0.0.255 area 0 (or enable OSPF on G0/0); confirm route appears on R2.
ACL-01,Inbound ACL blocks approved HTTPS traffic,"Users cannot open the internal HTTPS server, while other allowed services work.",Client LAN to R1 to Server-PT 10.20.20.10; extended ACL filters client VLAN inbound.,R1# show access-lists; R1# show running-config interface g0/0; PC> ping 10.20.20.10,ACL contains deny tcp 10.20.10.0 0.0.0.255 host 10.20.20.10 eq 443 with match counter increasing.,ACL explicitly denies legitimate HTTPS traffic.,4,ACL,High,Replace/remove the deny and add an appropriate permit tcp rule for HTTPS before any general deny; retest browser access.
ACL-02,ACL is applied to the wrong interface,Management workstation cannot reach devices on its local VLAN after an Internet-filter ACL was added.,R1 G0/0 is management LAN; G0/1 is WAN; ACL intended for WAN traffic.,R1# show running-config interface g0/0; R1# show running-config interface g0/1; R1# show access-lists,G0/0 has ip access-group INTERNET-FILTER in; G0/1 has none; ACL denies management source traffic.,The ACL is bound inbound on the management LAN interface rather than the intended WAN interface.,3,ACL,High,Remove ip access-group INTERNET-FILTER in from G0/0 and apply it to the correct interface/direction after policy review.
ACL-03,ACL direction is reversed,Traffic initiated by clients is unexpectedly blocked although the ACL entries match the intended client subnet.,"Client LAN on R1 G0/0, server LAN on G0/1; ACL should filter client traffic near source.",R1# show running-config interface g0/0; R1# show running-config interface g0/1; R1# show access-lists,ACL is applied outbound on G0/0; match counters remain zero while client-to-server packets exit G0/1.,ACL is applied in the wrong direction/interface path.,3,ACL,Medium,Remove the misplaced access group and apply it inbound on G0/0 (or outbound on G0/1 according to policy); confirm counters increment correctly.
NAT-01,PAT is not configured for internal users,Internal PCs can reach the edge router but cannot reach an external server that lacks routes back to private space.,R1 inside LAN 192.168.120.0/24 and outside link 203.0.113.2/30 to ISP server.,R1# show ip nat translations; R1# show running-config | section ip nat; PC> tracert 198.51.100.10,No NAT translations appear after traffic; configuration has no ip nat inside source statement.,NAT/PAT translation rule is missing.,3,NAT,High,Mark interfaces inside/outside and configure ACL plus ip nat inside source list <acl> interface g0/1 overload; generate traffic and inspect translations.
NAT-02,NAT inside and outside roles are reversed,NAT translation table stays empty and Internet access fails after interface role changes.,R1 G0/0 faces 192.168.130.0/24; G0/1 faces ISP 203.0.113.2/30; PAT rule exists.,R1# show running-config interface g0/0; R1# show running-config interface g0/1; R1# show ip nat translations,"G0/0 is marked ip nat outside and G0/1 is marked ip nat inside, opposite the topology.",NAT inside/outside interface designations are reversed.,3,NAT,High,On G0/0 use ip nat inside; on G0/1 use ip nat outside; clear translations if needed and test external connectivity.
NAT-03,NAT ACL omits the user subnet,One internal VLAN has Internet access but users in VLAN 140 do not.,R1 router-on-a-stick: VLAN 130 and VLAN 140; PAT ACL should cover both; one ISP link.,R1# show access-lists; R1# show ip nat translations; PC-V140> ping 198.51.100.10,NAT ACL permits 192.168.130.0/24 only; VLAN 140 packets create no translations.,NAT matching ACL/rule excludes 192.168.140.0/24.,3,NAT,Medium,Add permit 192.168.140.0 0.0.0.255 to the NAT ACL (without breaking existing entries); create traffic and confirm a translation.
WLAN-01,Laptop joins the wrong SSID,Laptop associates to a nearby guest SSID and cannot access required staff resources.,Wireless Router/AP broadcasts StaffNet and GuestNet; Laptop-PT should use StaffNet.,Laptop-PT Desktop > PC Wireless; Wireless Router GUI > Wireless; Laptop> ipconfig /all,Laptop wireless profile/association shows GuestNet; StaffNet is the required corporate SSID.,Client selected the wrong SSID.,2,Wireless,Medium,"Select StaffNet in Laptop-PT PC Wireless, use its matching credentials, reconnect, and verify the staff subnet address."
WLAN-02,Wireless security key does not match AP,Laptop sees StaffNet but authentication/association fails and no IP address is assigned.,Laptop-PT connects to Wireless Router/AP StaffNet using WPA2-PSK.,Laptop-PT Desktop > PC Wireless; Wireless Router GUI > Wireless Security; Laptop> ipconfig /all,AP uses WPA2-PSK key Cisco12345; laptop profile has a different key and remains disconnected.,Wireless pre-shared key is incorrect.,2,Wireless Security,Medium,"Enter the exact WPA2-PSK configured on the AP into the laptop profile, reconnect, then obtain an address."
WLAN-03,Wireless client uses static IP from wrong subnet,Laptop associates successfully but cannot reach the AP gateway or LAN servers.,Wireless Router/AP LAN is 192.168.150.0/24 with gateway 192.168.150.1; Laptop-PT joins StaffNet.,Laptop> ipconfig /all; Laptop> ping 192.168.150.1; Wireless Router GUI > Setup,Laptop is associated but has static 192.168.151.50/24 and gateway 192.168.151.1; AP LAN is 192.168.150.1/24.,Wireless client IPv4 configuration belongs to the wrong subnet.,3,Wireless IP Addressing,Medium,Set laptop IPv4 to DHCP or a unique 192.168.150.x/24 address with gateway 192.168.150.1; verify gateway ping.
WLAN-04,Guest Wi-Fi can reach an internal server,"Guest laptop successfully pings a protected internal server, violating segmentation policy.",Wireless router/AP provides Guest VLAN 160 and Staff/Server VLAN 170; R1 inter-VLAN routing applies policy ACL.,Guest Laptop> ping 192.168.170.10; R1# show access-lists; R1# show running-config interface g0/0.160,Guest ping to 192.168.170.10 succeeds; guest VLAN interface has no ACL blocking 192.168.170.0/24.,Guest wireless VLAN lacks an isolation ACL for the internal server network.,3,Wireless Segmentation,High,Apply an extended ACL inbound on the guest VLAN interface to deny guest-to-internal traffic while permitting required Internet/DHCP/DNS traffic; verify server ping fails and Internet still works.
